round,client_id,participated,num_samples,update_norm_l2,update_norm_l1,update_norm_linf
21,9,1,204,67.9510269165039,168174.09375,0.405861496925354
22,0,1,10,67.94830322265625,168201.3125,0.3717665672302246
22,1,1,34,67.93822479248047,168171.34375,0.375925749540329
22,11,1,40,67.9429702758789,168176.546875,0.3696792721748352
22,12,1,108,67.91925811767578,168097.734375,0.37794363498687744
22,13,1,149,67.81491088867188,167821.265625,0.39200010895729065
22,14,1,8,67.94361114501953,168188.984375,0.371261864900589
22,15,1,154,67.86237335205078,167941.71875,0.3751027286052704
22,2,1,152,67.84320068359375,167911.984375,0.3734937608242035
22,4,1,117,67.8990478515625,168025.53125,0.36121419072151184
22,5,1,121,67.88423919677734,168033.828125,0.372254878282547
22,8,1,120,67.90559387207031,168072.453125,0.3913153409957886
22,9,1,204,67.8918685913086,168006.765625,0.41268306970596313
23,0,1,10,67.88661193847656,168032.46875,0.37777650356292725
23,1,1,34,67.87537384033203,167992.671875,0.3856198191642761
23,10,1,144,67.82679748535156,167863.375,0.3813500702381134
23,11,1,40,67.88427734375,168014.4375,0.3762040436267853
23,15,1,154,67.80208587646484,167775.875,0.3760378062725067
23,2,1,152,67.74627685546875,167644.28125,0.38028550148010254
23,3,1,55,67.8853759765625,167990.234375,0.38908207416534424
23,5,1,121,67.82611846923828,167871.328125,0.3778088688850403
23,6,1,50,67.90595245361328,168028.109375,0.39520901441574097
23,7,1,103,67.84696197509766,167914.03125,0.3806413412094116
23,8,1,120,67.84347534179688,167902.109375,0.39606428146362305
23,9,1,204,67.83119201660156,167840.203125,0.4099965989589691
24,0,1,10,67.83313751220703,167879.359375,0.3853592574596405
24,1,1,34,67.81250762939453,167814.203125,0.3945609927177429
24,10,1,144,67.76742553710938,167700.640625,0.38473376631736755
24,12,1,108,67.76266479492188,167647.140625,0.3717261850833893
24,13,1,149,67.72968292236328,167590.71875,0.40367138385772705
24,14,1,8,67.8219985961914,167858.46875,0.38677388429641724
24,2,1,152,67.72264099121094,167581.984375,0.3787097632884979
24,3,1,55,67.82942962646484,167848.359375,0.3827834725379944
24,4,1,117,67.80221557617188,167767.3125,0.3705204129219055
24,6,1,50,67.83658599853516,167869.203125,0.4058074653148651
24,8,1,120,67.78630065917969,167745.046875,0.3938857913017273
24,9,1,204,67.77615356445312,167683.53125,0.4187583029270172
25,0,1,10,67.78144073486328,167727.40625,0.38437163829803467
25,1,1,34,67.76187896728516,167674.734375,0.39015448093414307
25,10,1,144,67.64476013183594,167358.796875,0.3883710503578186
